question,option1,option2,option3,option4,correct_option,genre,difficulty,hint,option_explanations
FIFAワールドカップで日本代表が初めて決勝トーナメントに進出した大会はどれでしょうか？,2002年日韓大会,1998年フランス大会,2010年南アフリカ大会,2006年ドイツ大会,1,サッカー,easy,,日本代表が初めてW杯決勝トーナメント（ベスト16）に進出した大会です。国内開催という地の利を活かし、トルコ戦まで進出しました。|これは日本代表が初めてW杯本大会に出場した記念すべき大会ですが、残念ながらグループステージで3連敗し、決勝トーナメントには進出できませんでした。|この大会でも日本は決勝トーナメントに進出しましたが、「初めて」ではありません。2002年大会が初進出となります。|この大会ではグループステージで1勝もできず敗退し、決勝トーナメントに進むことができませんでした。
サッカー日本代表の愛称として正しいものはどれでしょうか？,サムライブルー,ブルーウルフ,レッドドラゴン,ライトニングジャパン,1,サッカー,easy,,「サムライブルー」は日本代表の公式愛称で、日本の武士道精神と青いユニフォームに由来しています。|実在しない造語です。日本代表の公式愛称ではありません。|実在しない愛称です。赤いユニフォームを使用する国の愛称に近いイメージがありますが、日本代表とは関係ありません。|実在しない造語です。日本代表の公式愛称は「サムライブルー」です。
ワールドカップで優勝回数が最も多い国はどれでしょうか？,ブラジル,ドイツ,アルゼンチン,イタリア,1,サッカー,easy,,ブラジルは5回の優勝を誇り、W杯史上最多の優勝回数を持つサッカー王国です。ペレやロナウドなど伝説的な選手を輩出しています。|ドイツは4回の優勝で、ブラジルに次ぐ強豪国ですが、最多ではありません。|アルゼンチンは3回の優勝（2022年時点）で、メッシが最近優勝を果たしましたが、ブラジルには及びません。|イタリアは4回の優勝で、ドイツと並びますが、ブラジルの5回には及びません。
サッカーにおいて、1試合のプレー時間（前後半）として正しいものはどれでしょうか？,90分,80分,100分,70分,1,サッカー,easy,,サッカーは前半45分＋後半45分の合計90分が基本のプレー時間です。これにアディショナルタイムが加わります。|80分はサッカーの公式試合時間ではありません。ラグビーなどは80分ですが、サッカーは90分です。|100分はサッカーの通常試合時間ではありません。延長戦が行われた場合は120分（90分＋30分）になることがあります。|70分は公式試合時間として短すぎます。ユース年代の一部試合で短縮されることもありますが、正式な試合は90分です。
2022年ワールドカップで日本が逆転勝利を収めた相手として正しいものはどれでしょうか？,ドイツ,スペイン,クロアチア,ベルギー,1,サッカー,normal,,日本は2022年カタールW杯で強豪ドイツを相手に1-2から逆転勝利し、世界中を驚かせました。後半に堂安律と浅野拓磨がゴールを決めました。|スペイン戦でも日本は逆転勝利を収めましたが、問題文では「逆転勝利を収めた相手」の一つを聞いています。ドイツが最初の逆転勝利となりました。|クロアチアとは決勝トーナメント1回戦で対戦しましたが、PK戦の末に敗退しました。逆転勝利ではありません。|ベルギーとは2022年大会では対戦していません。2018年ロシアW杯で対戦し、2-3で惜敗しました。
サッカーで「ボランチ」と呼ばれるポジションはどの位置でしょうか？,守備的MF,サイドバック,トップ下,センターフォワード,1,サッカー,normal,,ボランチはポルトガル語で「舵取り」を意味し、中盤の底で守備と攻撃の起点となる守備的MFのことです。遠藤航や柴崎岳などが代表的な選手です。|サイドバックはディフェンスラインの両端に位置する選手で、ボランチとは異なります。|トップ下は攻撃的MFで、前線の選手にパスを送る役割です。ボランチより攻撃的な位置にいます。|センターフォワードは最前線で得点を狙うポジションで、ボランチとは全く異なる役割です。
VAR（ビデオアシスタントレフェリー）の主な目的として正しいものはどれでしょうか？,重大な判定ミスの防止,試合時間の短縮,選手交代の管理,観客動員の増加,1,サッカー,normal,,VARは得点、PK、レッドカード、人違いなど重大な判定ミスを映像で確認・修正するシステムです。審判の判断を補助し、公平性を高めます。|VARの導入により確認時間が増え、試合時間は逆に長くなる傾向があります。短縮が目的ではありません。|選手交代の管理は第四の審判が行います。VARは判定の確認が主目的です。|観客動員はVARの目的ではありません。公正な判定により試合の質を向上させることが目的です。
UEFAチャンピオンズリーグの優勝回数が最多のクラブはどこでしょうか？,レアル・マドリード,ACミラン,バルセロナ,バイエルン,1,サッカー,normal,,レアル・マドリードは14回の優勝（2022年時点）を誇り、欧州最強のクラブとして君臨しています。クリスティアーノ・ロナウドなどのスター選手が活躍しました。|ACミランは7回の優勝で歴史ある強豪ですが、レアル・マドリードには及びません。|バルセロナは5回の優勝で、メッシ時代に黄金期を築きましたが、レアルより少ないです。|バイエルン・ミュンヘンは6回の優勝で強豪ですが、レアルの14回には遠く及びません。
サッカー日本代表で、歴代最多得点記録を保持している選手は誰でしょうか？,三浦知良,本田圭佑,大迫勇也,香川真司,1,サッカー,hard,,三浦知良（カズ）は日本代表で55得点を記録し、歴代最多得点者です。「キングカズ」として日本サッカー界のレジェンドとして知られています。|本田圭佑は代表で37得点を記録した名選手ですが、カズの記録には及びません。|大迫勇也は「半端ない」で有名になった選手ですが、代表得点はカズより少ないです。|香川真司は代表で31得点を記録しましたが、カズの55得点には遠く及びません。
サッカーで「カテナチオ」と呼ばれる戦術の特徴として正しいものはどれでしょうか？,堅守速攻,超攻撃的プレス,ロングボール主体,中盤密集,1,サッカー,hard,,カテナチオはイタリア語で「かんぬき」を意味し、強固な守備から素早いカウンター攻撃を仕掛ける戦術です。1960年代のイタリアで確立されました。|超攻撃的プレスはカテナチオの真逆の戦術です。カテナチオは守備重視の戦術として知られています。|ロングボール主体は主にイングランドで用いられた戦術で、カテナチオとは異なります。|中盤密集はティキタカなど別の戦術の特徴で、カテナチオは守備ライン重視です。
